#####OBJ_WEAPONS
#####ARTIFACTS
%sdir item/weapon
spwpn_singing_sword SPWPN_SINGING_SWORD
spwpn_wrath_of_trog SPWPN_WRATH_OF_TROG
spwpn_scythe_of_curses SPWPN_SCYTHE_OF_CURSES
spwpn_mace_of_variability SPWPN_MACE_OF_VARIABILITY
spwpn_glaive_of_prune SPWPN_GLAIVE_OF_PRUNE
spwpn_sceptre_of_torment SPWPN_SCEPTRE_OF_TORMENT
spwpn_sword_of_zonguldrok SPWPN_SWORD_OF_ZONGULDROK
spwpn_sword_of_cerebov SPWPN_SWORD_OF_CEREBOV
spwpn_staff_of_dispater SPWPN_STAFF_OF_DISPATER
spwpn_sceptre_of_asmodeus SPWPN_SCEPTRE_OF_ASMODEUS
spwpn_sword_of_power SPWPN_SWORD_OF_POWER
spwpn_knife_of_accuracy SPWPN_KNIFE_OF_ACCURACY
spwpn_staff_of_olgreb SPWPN_STAFF_OF_OLGREB
spwpn_vampires_tooth SPWPN_VAMPIRES_TOOTH
quarterstaff SPWPN_STAFF_OF_WUCAD_MU
#####NORMAL
##Blunt
club WPN_CLUB
mace2 WPN_MACE
mace_large WPN_GREAT_MACE
flail2 WPN_FLAIL
flail WPN_GREAT_FLAIL
spiked_flail WPN_SPIKED_FLAIL
morningstar2 WPN_MORNINGSTAR
eveningstar WPN_EVENINGSTAR
hammer WPN_HAMMER
ancus WPN_ANCUS
bullwhip WPN_WHIP
demon_whip WPN_DEMON_WHIP
giant_club WPN_GIANT_CLUB
giant_spiked_club WPN_GIANT_SPIKED_CLUB

##Edged
knife WPN_KNIFE

dagger WPN_DAGGER
orcish_dagger WPN_DAGGER_ORC
elven_dagger WPN_DAGGER_ELF

short_sword WPN_SHORT_SWORD
orcish_short_sword WPN_SHORT_SWORD_ORC
elven_short_sword WPN_SHORT_SWORD_ELF
short_sword2 WPN_SHORT_SWORD_1

long_sword WPN_LONG_SWORD
orcish_long_sword WPN_LONG_SWORD_ORC
long_sword2 WPN_LONG_SWORD_1

two_handed_sword WPN_GREAT_SWORD
orcish_great_sword WPN_GREAT_SWORD_ORC

falchion WPN_FALCHION
scimitar WPN_SCIMITAR

silver_saber WPN_SABRE
sabre2 WPN_SABRE_1

broadsword WPN_QUICK_BLADE

#tsurugi WPN_KATANA
katana2 WPN_KATANA
katana3 WPN_KATANA_1

double_sword WPN_DOUBLE_SWORD
triple_sword WPN_TRIPLE_SWORD
demon_blade WPN_DEMON_BLADE

##Axe
hand_axe WPN_HAND_AXE
war_axe WPN_WAR_AXE
battle_axe2 WPN_BROAD_AXE
battle_axe WPN_BATTLEAXE
executioner_axe WPN_EXECUTIONERS_AXE

##Ranged
blowgun WPN_BLOWGUN
sling WPN_SLING
bow WPN_BOW
crossbow WPN_CROSSBOW
#hand_crossbow WPN_HAND_CROSSBOW
crossbow2 WPN_HAND_CROSSBOW

##Pole
quarterstaff WPN_QUARTERSTAFF

glaive WPN_GLAIVE
orcish_glaive WPN_GLAIVE_ORC

elven_spear WPN_SPEAR
spear2 WPN_SPEAR_1

halberd WPN_HALBERD
scythe WPN_SCYTHE
trident WPN_TRIDENT
demon_trident WPN_DEMON_TRIDENT

######OBJ_MISSILES
item/gem/stone MI_STONE
ya MI_ARROW
effect/arrow0 MI_ARROW0
effect/arrow1 MI_ARROW1
effect/arrow2 MI_ARROW2
effect/arrow3 MI_ARROW3
effect/arrow4 MI_ARROW4
effect/arrow5 MI_ARROW5
effect/arrow6 MI_ARROW6
effect/arrow7 MI_ARROW7

crossbow_bolt MI_BOLT
effect/bolt0 MI_BOLT0
effect/bolt1 MI_BOLT1
effect/bolt2 MI_BOLT2
effect/bolt3 MI_BOLT3
effect/bolt4 MI_BOLT4
effect/bolt5 MI_BOLT5
effect/bolt6 MI_BOLT6
effect/bolt7 MI_BOLT7

dart MI_DART
dart-p MI_DART_P
effect/dart0 MI_DART0
effect/dart1 MI_DART1
effect/dart2 MI_DART2
effect/dart3 MI_DART3
effect/dart4 MI_DART4
effect/dart5 MI_DART5
effect/dart6 MI_DART6
effect/dart7 MI_DART7

needle MI_NEEDLE
needle-p MI_NEEDLE_P
effect/needle0 MI_NEEDLE0
effect/needle1 MI_NEEDLE1
effect/needle2 MI_NEEDLE2
effect/needle3 MI_NEEDLE3
effect/needle4 MI_NEEDLE4
effect/needle5 MI_NEEDLE5
effect/needle6 MI_NEEDLE6
effect/needle7 MI_NEEDLE7

item/gem/rock MI_LARGE_ROCK
######OBJ_ARMOUR
%sdir item/armor
robe ARM_ROBE
robe2 ARM_ROBE_1
robe3 ARM_ROBE_2

leather_armor2 ARM_LEATHER_ARMOUR
breast_plate2 ARM_LEATHER_ARMOUR_1
orcish_leather_armor ARM_LEATHER_ARMOUR_ORC
elven_leather_armor ARM_LEATHER_ARMOUR_ELF

ring_mail ARM_RING_MAIL
orcish_ringmail ARM_RING_MAIL_ORC
elven_ringmail ARM_RING_MAIL_ELF
dwarven_ringmail ARM_RING_MAIL_DWA

scale_mail ARM_SCALE_MAIL
elven_scalemail ARM_SCALE_MAIL_ELF

chain_mail ARM_CHAIN_MAIL
orcish_chain_mail ARM_CHAIN_MAIL_ORC

splint_mail ARM_SPLINT_MAIL
banded_mail ARM_BANDED_MAIL

plate_mail2 ARM_PLATE_MAIL
orcish_platemail ARM_PLATE_MAIL_ORC

crystal_plate_mail ARM_CRYSTAL_PLATE_MAIL

animal_skin ARM_ANIMAL_SKIN
troll_hide ARM_TROLL_HIDE
troll_leather_armour ARM_TROLL_LEATHER_ARMOUR
green_dragon_scales ARM_DRAGON_HIDE
green_dragon_scale_mail ARM_DRAGON_ARMOUR
ice_dragon_hide ARM_ICE_DRAGON_HIDE
ice_dragon_armour ARM_ICE_DRAGON_ARMOUR
silver_dragon_scales ARM_STEAM_DRAGON_HIDE
silver_dragon_scale_mail ARM_STEAM_DRAGON_ARMOUR
mottled_dragon_hide ARM_MOTTLED_DRAGON_HIDE
mpttled_dragon_armour ARM_MOTTLED_DRAGON_ARMOUR
blue_dragon_scales ARM_STORM_DRAGON_HIDE
blue_dragon_scale_mail ARM_STORM_DRAGON_ARMOUR
gold_dragon_hide ARM_GOLD_DRAGON_HIDE
gold_dragon_armour ARM_GOLD_DRAGON_ARMOUR
